month,deliveries,pickups,total_demand,pickup_share
1,1342.7096774193549,2420.483870967742,3763.1935483870966,0.6433487447076566
2,1304.5,2356.1785714285716,3660.6785714285716,0.6437994797025609
3,1297.9032258064517,2347.7419354838707,3645.6451612903224,0.6440030348690099
4,1392.0666666666666,2528.5666666666666,3920.633333333333,0.6450143612387933
5,1273.1935483870968,2277.967741935484,3551.1612903225805,0.640997731895336
6,1281.6333333333334,2310.133333333333,3591.766666666667,0.6430143027966367
7,1183.967741935484,2138.1612903225805,3322.1290322580644,0.6429047452786706
8,1151.032258064516,2074.1290322580644,3225.1612903225805,0.6433521367402152
9,1375.6666666666667,2474.4,3850.0666666666666,0.642821141535252
10,1334.516129032258,2420.5806451612902,3755.0967741935483,0.6446846373187308
11,1345.6333333333334,2410.8,3756.4333333333334,0.6420886754623701
12,1580.0967741935483,2828.032258064516,4408.129032258064,0.6412067053456156
